id,name,category,brand,weight,package_size,keywords,description,price,image_url
P0001,Батарейки AA alkaline «VoltEdge» 4шт,Хозяйственные товары,VoltEdge,4,1,батарейки aa lr6 voltedge alkaline,Alkaline батарейки aa бренда VoltEdge в категории хозяйственные товары.,151.23,https://example.com/p/P0001.jpg
P0002,Мука пшеничная HoReCa 25 кг «Старый Мельник» 900г,Бакалея,Старый Мельник,900,1,мука пшеничная flour старый мельник horeca25кг,Horeca 25 кг мука пшеничная бренда Старый Мельник в категории бакалея.,509.93,https://example.com/p/P0002.jpg
P0003,Энергетический напиток маракуйя «Volt» 500мл,Напитки,Volt,500,12,energy литл энергетик volt маракуйя,Маракуйя энергетический напиток бренда Volt в категории напитки.,163.71,https://example.com/p/P0003.jpg
P0004,Филе грудки индейки HoReCa «FarmLine» 5кг,Мясо и птица,FarmLine,5,1,филе индейка turkey fillet farmline horeca,Horeca филе грудки индейки бренда FarmLine в категории мясо и птица.,1326.08,https://example.com/p/P0004.jpg
P0005,Пакеты для мусора 60л «StrongHold» 30шт,Хозяйственные товары,StrongHold,30,1,пакеты мусор trash bags stronghold 60л,60л пакеты для мусора бренда StrongHold в категории хозяйственные товары.,73.21,https://example.com/p/P0005.jpg
P0006,Мука пшеничная натуральная «BakeryPro» 5кг,Бакалея,BakeryPro,5,10,мука пшеничная flour bakerypro натуральная,Натуральная мука пшеничная бренда BakeryPro в категории бакалея.,999.93,https://example.com/p/P0006.jpg
P0007,Крупа гречневая ядрица «Русская крупа» 15кг,Бакалея,Русская крупа,15,8,крупа гречка buckwheat русская крупа ядрица,Ядрица крупа гречневая бренда Русская крупа в категории бакалея.,252.25,https://example.com/p/P0007.jpg
P0008,Масло подсолнечное нерафинированное «Golden Field» 500мл,Бакалея,Golden Field,500,1,масло подсолнечное растительное sunflower 10л golden field нерафинированное,Нерафинированное масло подсолнечное бренда Golden Field в категории бакалея.,1574.36,https://example.com/p/P0008.jpg
P0009,Корм для собак гипоаллергенный salmon «Happy Tail» 5кг,Зоотовары,Happy Tail,5,2,корм собак dog food hypo happy tail salmon,Salmon корм для собак гипоаллергенный бренда Happy Tail в категории зоотовары.,2098.85,https://example.com/p/P0009.jpg
P0010,Лапша быстрого приготовления том ям «NoodleLab» 100г,Бакалея,NoodleLab,100,24,лапша инстант ramen noodlelab томям,Том ям лапша быстрого приготовления бренда NoodleLab в категории бакалея.,55.81,https://example.com/p/P0010.jpg
